comments	contain_gender_bias	bias	hate	comments_clean
12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다	False	none	none	더 결혼 성수기 여름 비수기 속하
13살 차이면 요즘 세상에 놀랄일도 아니네요	False	none	none	차이 요즘 세상 놀라 일
1400억 뜯기고 얼마나 억울 했을꼬 뒤질만큼 아플만 하지~~~~ㅋㅋㅋㅋ	False	none	offensive	뜯기 얼마나 억울 뒤지 아프 하
15년생인 울아들은 유모차 안타는데	False	none	none	아들 유모차 안 타
15살차이면 어릴때사고쳤으면 딸벌인데 ㅋㅋ 능력좋네 전현무 여자들이 전현무스타일이 좋은가봐	False	others	offensive	차이 어리 때 사고 치 따 벌 능력 좋 전현무 여자 전현무 스타일 좋
166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄	False	none	none	다이어트 필요 없 건강 위하 더 빼 다 더 마르 보
17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다	False	others	none	진짜 너무 사랑 가능 도저히 납득 가
180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함	False	none	none	넘어가 정도 기럭 지 넘 애 의심 의구심 안 하 안 드 비율 좋 크 보이
180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?	True	gender	hate	이하 빗 남 결혼 돈 없 연애 하 니들 호빗 유전자 고통 후손 죄
18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄	False	none	hate	감량 하 박수 치 그냥 먹 다 먹 디비 지 하 그냥 찌
1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.	False	none	none	자유당 시절 하버드 로스쿨 입학 할리우드 진출 대단
19에서15로 바뀌고 망트리 탄거...	False	none	none	바뀌 망 트리 타
1년연예 ㅋㅋ 2년봅니다....	False	none	offensive	연예
1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나	False	none	none	전 연남동 술집 술 마시 보 이제야 기사 뜨
1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다	False	none	none	재미없 이제 도덕 생각나 폐지 학부모 입장 폐지 비 하
1보다 재미없어요 진짜 보다 나올뻔	False	none	offensive	재미없 진짜 보 나오
1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ	False	none	none	눈 썩 같 보 졸라 웃기
1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️	False	none	none	안
1일1식보단 아침,점심만 먹고 저녁은 꾸준히 공복유지 하는게 건강에 더 좋은듯	False	none	none	식 아침 점심 먹 저녁 꾸준히 공복 유지 건강 더 좋
1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함	False	none	none	식 못 하 한상진 연기 잘 하
1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고	False	none	none	교도소 마취 없이 몸 꿰매 커피 말 먹 보 랏 통증 감각
2%로도 안되는 시청율 ㅎㅎ 연기도 못하더만 이거 때문에 북을 못가? ㅎㅎ	False	none	none	안 되 시청 연기 못 하 북 못 가
2,30대 골빈여자들은 이 기사에 다 모이는건가ㅋㅋㅋㅋ 이래서 여자는 투표권 주면 안된다. 엠넷사전투표나 하고 살아야지 계집들은	True	gender	hate	골 비 여자 기사 다 모이 여자 투표 주 안 되 엠넷 사전 투표 하 살 계집
2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ	False	none	none	여름 보 서지영 스포츠카 타 오 전
2006년 포도밭그사나이에서 흰가운입은 연구원 정소영봐라~!!솔까 대한민국 여배우중에 최고로 이쁘고 단아했다~!!! 급식충들은 멋도모르고 윤아 아이유 떠들겠지만..	False	others	hate	포도밭 그 사나이 희 가운 연구원 정 소영 보 소 대한민국 여배우 최고 이쁘 단아 급식 충 멋 모르 윤아 아이유 떠들
200억대 쳐바르고 홍보를 그렇게나했는데 시청률 5.0%가 자랑이라고 올렸냐... 그리고, 남녀 주인공이 비주얼이 너무 심각하고 남녀주연들 사극 말투가 더빙한것마냥 성우스러워서 시청률이 그 모양 그 꼴이잖아...	False	others	offensive	치 바르 홍보 하 시청 자랑 올리 남녀 주인공 비주얼 너무 심각 남녀 주연 사극 말투 더빙 성우 시청 모양 꼴
2014년 카톡은 안지우고 지끔까지 갖고 있었다는게 놀랍다~수집하니~지땜에 장씨 날벼락~	False	none	offensive	카톡 안 지우 지끔 갖 수집 장 벼락
2016년 사진이래요 ㅋ	False	none	none	사진 하
2018년 마마 진정한 승자 화사	False	none	none	마마 진정 승자 화사
2020년이 올거같냐 영배야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	False	none	none	오 같 영배
206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요	False	none	none	겨우 계약금 수준 을 지불 안 하 사정 있 같 중립 기어 박
20년연애 너무 멋져요 !! 이제 결혼하셔서 행복한 가정이루시길	False	none	none	연애 너무 멋지 이제 결혼 행복 가정 이루
20년이 넘었다 부모는 속이 타고 억울하겠지만 이젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까? 30년 지난 화성사건은 피해가족들은?그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될수있다	False	none	offensive	넘 부모 속 타 억울 이제 억울 죽 사람 얼마나 많 지나 화성 사건 피해 가족 그때 가해자 되 시간 지나 오늘 피해자 되 있
20년째 열애중? 너무 길다.	False	others	none	열애 너무 길
20대 30대 남자 비율보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ할짓 드럽게없나봐... 죽자고 덤벼드는거봐ㅠㅠ	True	gender	hate	남자 비율 보 하 짓 없 죽 덤비 보
20대다. 연애 많이 해봐라.	False	others	offensive	연애 많이 하
20살차?? ㅉㅉ	False	others	offensive	차
21C에 주술사랑 ...	False	none	none	C 주술사
24살인데 술을먹어 발랑까졋네 고딩때도 먹엇을듯	False	others	offensive	술 먹 발랑 까지 고 딩 때 먹
25년전이면 한참 팔팔할때.. 오달수도 아마 이십대 초반.. 서로 어렸을때 반콩깠던거 같은데..저렇게 따지면 이세상에 성범죄자 아닌인간이 있을까 무섭다	True	gender	offensive	전 한참 팔팔 하 때 오달수 아마 초반 서로 어리 때 반 콩 까 같 따지 세상 성범죄자 인간 있
25년전이면오달수도 혈기왕성할때인데 그럴수도 있을듯 그리고 이제와서 25년일을 말하는사람도 참 이해못하겠네 혓재에 충실하고 살지 참	True	gender	none	전 달 수 혈기 왕성 때 있 이제 오 일 말 사람 참 이해 못 하 혓재 충실 살 참
26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌	False	none	none	최수종 한결 같 힘들 서로 양보 배려 비슷 살 싸우 일 반 줄이 아내 행복 만들
290억 아니고?	False	none	none	
29살까지 온갖 수단 다 동원해서 입대 연기하며 발악하다가 어쩔수없이 끌려가는게 머가 대단하다고 오바질이야 ㅋㅋ	False	others	hate	수단 다 동원 입대 연기 발악 어쩌 없이 끌려가 대단 오바
2~30대녀 :(쿵쾅쿵쾅) 꿀꿀꿀!!!!!!	True	gender	hate	대니 쿵쾅쿵쾅 꿀 꿀
2년 사귀었으면 ... 서로 온몸의 점 위치까지 다알 듯 ㅋㅋㅋ	False	others	offensive	사귀 서로 온몸 점 위치 다 알
2년도안되 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 ......그동안 sns에서 충분히 느낄 수 있었ㆍ새로운 삶을 사세요	False	none	offensive	안 되 양아치 통수 맞 분 동안 sns 충분히 느끼 있 삶 사
2박2일은 뭐니? 기레기야	False	none	hate	기레기
2차로 남자집을 왜 가.무조건 남자만 탓 할 일은 아니다.명백히 가려지길...	True	gender	offensive	남자 집 왜 가 무조건 남자 탓 일 명백히 가리
2천만원짜리 조리원하며고기집 외식하며...참 가지가지 한다ㅋㅋㅋㅋㅋ관심병으로 더아프신거 아닌감??아무튼 건강하다니 다행이네...ㅋㅋㅋ	False	others	offensive	조리 원 고기집 외식 참 가지가지 하 관심 병 더 아프 아무튼 건강 하 다행
30넘어서 공익가는 꼴이란ㅋㅋㅋㅋㅋ진짜 모냥빠진다ㅋㅋㅋ	False	others	offensive	넘 공익 가 꼴 진짜 모냥 빠지
30대 아줌마들 남에 집에 감놔라배놔라 ㅋㅋㅋㅋㅋ	True	gender	offensive	아줌마 남 집 감 배
30대 아줌마들;; 고만들 하세요;	True	gender	offensive	아줌마 고만 하
30대 여자들은 군대도 안가는데 군대 이야기에 이렇게 관심이 많을까?? 젤 싫어하는 이야기 탑3라면서??	True	gender	offensive	여자 군대 안 가 군대 이야기 관심 많 젤 싫어하 이야기 탑
30대 여자비율이 가장높은거보니 고소영이뻐요 하는 이유를 알겠다 ^^ 여자들아 진심으로 한마디 하겠는데 30대 여자는 진심으로 여자로 아예안보여요~^^	True	gender	hate	여자 비율 가장 높 보 고소영 이쁘 하 이유 알 여자 진심 한마디 하 여자 진심 여자 아예 안 보이
30대여자들 한혜진 빙의해서 악플다는거 진짜 안쓰럽고 역겹다 본인인생이나 잘살기를 젊은여자들 질투하지말고	True	gender	offensive	여자 혜 진 빙의 악플 진짜 본인 인생 잘 살 젊 여자 질투
33살이 청년임? 아저씨아님?	False	others	hate	청년 아저씨
38살 되도록 시집못갔으면 뭔가 문제있는 여자 아닌가?? 건모형 그냥 거르세요...상대할 필요도 없어요...	True	gender	hate	되 시집 못 가 문제 있 여자 건 모형 그냥 거르 상대 필요 없
38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~	False	others	none	잘못 적 하 정도 동안
39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???	False	none	none	나오 양세종
3명중에 최종훈이 제일 잘생겼네요♡	False	none	none	최종 후 제일 잘 생기
3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!	False	none	none	탈락 면 이제 술수 부리 티 나
3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.	False	none	none	어치 팔 파급력 있 사람 왜 다 조롱 하 잘 알 더더욱 함부로 말 안 되
40-50대로 가야지..할매를 부르면 우야노	True	gender	hate	가 할매 부르 우야노
40대 아줌마 지들 자식들은 피씨방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아몰랑 지지하고 어후 토나와	False	others	hate	아줌마 자식 피씨방 있 엄마 방탄 동영상 처 보 생각 경포대 문재인 모르 토 나오
40대 아줌마들 댓글비율좀봐....	True	gender	offensive	아줌마 댓글 비율 좀 보
40대 여자들이 나이값못하고 현빈 멋있다고 하악하악 거리는거 개극혐ㅋㅋㅋㅋ당신들의 튀어나온 뱃살과 흉측한 얼굴을보고 반성하길바람^^;;;	True	gender	hate	여자 나이 값 못 하 현빈 멋있 하악하악 거리 개극혐 튀어나오 뱃살 흉측 얼굴 보 반성 바라
40대 이모라 집중이 안됨... 20살 초반으로좀 캐스팅좀 ㅠㅜㅠㅜ	True	gender	offensive	이모 집중 안 되 초반 좀 캐스팅 좀
40대늙은이 32% 돌아이련들...쯧쯧쯧	True	gender	hate	늙은이 돌아이 련 쯧쯧
40살에 폐경에 다리까지 노답이라이 ㅋㅋㅋ	True	gender	hate	폐경 다리 노 답
40살여자랑 로맨스 ㅋㅋ별로다	False	others	offensive	여자 로맨스 별로
40세 이상 한녀들은 임신도 못하는 사실상 쓸모없는 분리수거 대상	True	gender	hate	이상 녀 임신 못 하 사실 쓸모없 분리수거 대상
40이다 상관 없다는 넘들 애들이군	False	others	offensive	상관 없 넘 애
43.1 이라 .. 행복해서 살쪘다는걸 보여주고싶은건가? 아니면 임...신?	True	gender	offensive	행복 살찌 보이 임 신
45가 정상인가? 애들이 따라할까 무섭다	False	others	offensive	정상 애 따르 하
45억 빚진것도 신기하고, 그 빚을 이미 완전 인기가 저물어도 몇년만에 갚는다는게 더 신기하다. 그러면 홍진영 이런애들은 1년에 얼마 번다는거야 ㅋㅋ	False	none	none	빚지 신기 빚 이미 완전 인기 저물 갚 더 신기 홍진영 애 얼마 벌
47kg면 내 몸무겐데 난 소멸되겠다.ㅎㅎ	False	none	none	kg 몸무게 소멸
47살에 출산?	False	others	offensive	출산
4년전정준영카톡이 이게 이렇게 큰일이냐?ㅋ 더럽네정말.. 누가봐도 꼬리짜르기구만	True	gender	offensive	전 정준영 카톡 크 일 정말 보 꼬리 짜르
4억 장윤정에게는 껌값일텐데 비정한딸	False	others	offensive	장윤정 껌 값 비정 딸
52도 빼야되냐	False	none	none	빼 되
52면 날씬한건데..	False	others	none	면 날씬하
52키로 딱 좋앙~~~	False	none	none	딱 좋
52퍼 되는 여자들 강한나 테러하네 ㅋㅋ 그만들 하세요 님들 너무 추해 보임	True	gender	hate	되 여자 강한나 테러 하 그만 하 너무 추하 보이
53살 아빠면 어때 아빠가 곽부성인데.... 축하해요	False	none	none	아빠 아빠 곽 부성 축하
5명이랑 관계하면 거기 아플텐데... 누구말이 맞는건지.. 에휴	True	gender	offensive	관계 아프 말 맞
60만원으로 무슨 5억 피해입은 마냥 폭로하는 놈도 그렇고, 60만원을 안 갚고 쌩깠던 매니저 놈도 그렇고.. 참 안습이다.. 인간들 요즘 왜 그런지 참 ㅉㅉ... 신상털기, 먼지털기가 인생 낙인갑다..	False	none	none	피해 마냥 폭로 안 갚 까 매니저 참 안 습 인간 요즘 왜 참 신상 털 먼지 털 인생 낙
60에서 14면티가나는데 120에서 14면 흠	False	none	none	티 나
68%의 아줌마들아. 니들 자식들한테 고운말 하라고 가르치냐? 니들 댓글 모음이나 자식들 보여줘라	True	gender	offensive	아줌마 자식 말 하 가르치 댓글 모음 자식 보이
6명이서 그깟 20년 한거가지고 참 ㅋㅋㅋㅋㅋㅋㅋㅋ강필주는 혼자 20년 기다리고 참아왔다..	False	none	offensive	하 가지 참 강 필주 혼자 기다리 참
6명전부 별론데 그나마 저중에 문희준이 제일 인기많았고 돈 많이 벌었고	False	none	offensive	전부 별로 그나마 문희준 제일 인기 많 돈 많이 벌
6월 29일 전미선에 이어 7월 31일 박일 성우님... 올해 몇번째 연예계 비보가 내려오는 거죠?	False	none	none	전미선 박일 성우 올해 연예 비보 내려오
75% 여성비율 30대 37% ㅎㄷㄷ 능력있는 한국남성분들 국제결혼이 답입니다. 일본여자 노려보세요	True	gender	offensive	여성 비율 능력 있 한국 남성 국제결혼 답 일본 여자 노려보
79년생 하하 아직도 초딩캐릭터 아냐? 김종민도 그렇고 어른 이미지로 가는거 별로 안좋아할텐데	False	others	none	아직 초딩 캐릭터 알 김종민 어른 이미지 가 별로 안 좋아하
82년생김지영이는 못나오나보네 ㅋㅋㅋㅋ	True	gender	offensive	김지영 못 나오
82키로 김지영 왜보냐...? 저런 쓰레기 영화 안봄 ㅋ	True	gender	hate	김지영 왜 보 쓰레기 영화 안 보
90년대일을 이제와서 웨꺼내구 그러시는지 사실맞는지두 확인안되구 참	False	none	none	일 이제 오 웨꺼내구 그러 사실 맞 확인 안 되 참
9살 딸이 지금까지 본 주말 드라마 중에 제일 재미없어!!하고 끄고 양치하고 잠.. 새나라의 어린이로 만들어주는 드리마.. 최수종배우님 죄송ㅜㅜ	False	none	offensive	딸 지금 보 주말 드라마 제일 재미없 하 끄 양치 잠 나라 어린이 만들 최수종 배우 죄송
? 대세배우 ?	False	none	none	대세 배우
? 여태껏 동거한거에요?	False	others	offensive	여태껏 동거
???그냥 눈화장 색이 변한거 같은데.. 뭐가 달라진거죠??톤만 좀 연해진거 같은데..	False	none	none	그냥 눈 화장 색 변하 같 달라지 톤 좀 연하 같
B급 가수.. 가수라 하기도 애매하다	False	none	offensive	B 급 가수 가수 하 애매
Edm 천재 박명.수	False	none	none	Edm 천재 박명 수
Ft아일랜드 이홍기 원맨쇼지 ㅋㅋㅋ 나머지 멤버 무쓸모	False	none	offensive	Ft 아일랜드 이홍 기 원맨쇼 지 나머지 멤버 쓸모
HOT 팬들은 사람죽일 정도로 극성이였다든데	False	others	hate	HOT 팬 사람 죽이 정도 극성
JTBC 는 좌빨 방송인데. 이래서 여자들이 문재앙 좋아하나?	True	gender	hate	JTBC 늘 좌 빨 방송 여자 물 재앙 좋아하
JTBC 드라마는 기대가 하나도 안됨. 본적도 없어. TVN에서 만들면 모를까	False	others	offensive	JTBC 드라마 기대 안 되 보 없 TVN 만들 모르
JYP에서 연습생 한 3년은 해라	False	none	none	JYP 연습 하
KBS 주말극은 한번씩 꿀잼 노잼 하는것 같다 황금빛 보다가 이건 못보겠다 연기들이 너무 발연기다	False	others	offensive	KBS 주말극 꿀 잼 노 잼 하 같 황금빛 보 못 보 연기 너무 발 연기
KBS 주말드라마 인가요?	False	none	none	KBS 주말 드라마
KBS에서 이영자한테 대상준게 이해안됨 안녕하세요 시창률도 그닥인데 차라리 이동국을 주지 왜!	False	others	offensive	KBS 이영자 대상 이해 안 되 안녕 시 창 그닥 차라리 이동국 주 왜
M&A전문가란 직업이 있어요?^^PF금융업억 종사하는데 저런 직업은 처음.ㅋ	False	none	none	MA 전문가 직업 있 PF 금융업 종사 직업 처음
Mbc 주말 드라마 다시했으면 ㅠㅠ	False	none	none	Mbc 주말 드라마 다시 하
Metoo운동은 무슨 얼어죽을... 마녀사냥이지...youtoo운동으로 대항해야함	True	gender	hate	Metoo 운동 얼 죽 마녀사냥 youtoo 운동 대항
No no japan!!! 필요없다	False	others	hate	No no japan 필요 없
OOO 조개갖고 개ㅈㄹ하는 태콩이나 개촐싹대는조샌징들이나 ㅈㄴ웃김ㅋㅋㅋ	True	gender	hate	OO 갖 하 태 콩 개 싹 대 새 징 웃기
OOO들 모임이네. 뉴스에1분도 못나오는 뒷방3류아나라 잃을것도업시 친문좌파 방송국설립하려고 아나퇴사하고 개쌉친아나들. 와꾸만 번지르하고 속은맘충들과동급. 소신지키고 아나로서 소명을다한 배현진이 새삼 이쁘다	False	others	hate	OO 모임 뉴스 못 나오 뒷방 3류아 나라 잃 업 문 좌파 방송국 설립 아나 퇴사 개쌉친아나들 와꾸 번지르 속 맘 충 동급 소신 지키 나 소명 다 하 배 진 새삼 이쁘
OOO옆에는 OOO들이침흘리면서 있다는걸 모르는뇬들이 있네..무조건 남자혐오증 걸리지말고연예인. 인기인이라면 빤쯔흘리는뇬들이 얼마나 많은지 모르나...	True	gender	hate	OO 옆 OO 침 흘리 모르 있 무조건 남자 혐오증 걸리 연예인 인기인 빤쯔 흘리 얼마나 많 모르
OOO이라서 그런지 울때 표정이 안찡그려지는듯	False	others	offensive	OO 울 때 표정 안 찡그리
SBS뉴스는 연예가중계냐? 연예인 아니면 기사 쓸거 없어?	False	none	none	SBS 뉴스 연예가 중계 연예인 기사 쓰 없
SE$ 아닌가요 이제 Sea Eugene $hoo	False	none	hate	SE 이제 Sea Eugene hoo
SM에 핍박 당하고 여기서 다 끝났다고 생각하십니까? 인생은 항상 반전이 있습니다 무죄로 밝혀지면 이제는 배우로 열심히 활동하면 됩니다!	False	none	none	SM 핍박 당하 다 끝나 생각 인생 항상 반전 있 무죄 밝히 이제 배우 열심히 활동 되
SNS올리는 건 문제 아닌데 이걸 기사로 만들어진다는 게 문제 아닐까?ㅋㅋ	False	none	none	SNS 올리 문제 기사 만들 문제
TV조선이 띄어줬는데 당연줘야한다고보고 희트곡하나없는데 아무리 그래도행사비를이렇게많이 받다니 이런다 훅갑니다	False	others	offensive	TV조선 띄 당연 주 보 희트곡 없 아무리 행사 비 많이 이러 훅 가
X 쳤으면 다야???? ㅋㅋㅋㅋㅋㅋㅋㅋ 방송에서 저딴 식으로 표현하는건 문제 있다고 생각하는데. 그리고 몰카범죄룰 우려하는 메세지를 쓸 거 였으면 다르게 표현할 방법이 충분히 많았다. 제발 일차원적으로 생각하지 마세요 좀	False	none	offensive	X 치 다 방송 표현 문제 있 생각 몰카 범죄 우려 메세지 쓰 다르 표현 방법 충분히 많 제발 일차원 생각 좀
X1의 인기나 인지도는.. 워너원의 1/20도 안될것같습니다..멤버들이.. 매력이 없어요..	False	none	offensive	X 인기 인지도 워너원 안 되 같 멤버 매력 없
Xx같은 한국 x 같은법 이라는 승리놈하고 클럽 뭐 어쩌고 관련잇던애 아니엇나? 그런데 얼쩡거리고 드나들던애들 연예계 방송가에서 퇴출하지? 여자연예인들이 인물이 그리도 없어? 내가 추천 좀해주까?	False	none	hate	Xx 같 한국 x 같 승리 클럽 어쩌 관련 애 얼쩡거리 드나들 애 연예 방송가 퇴출 여자 연예인 인물 그리도 없 추천 좀 하
YG 제국 부활하자 빅뱅 컴백해서 방탄 밟자!	False	none	offensive	YG 제국 부활 빅뱅 컴백 방탄 밟
YG올해 아이콘 빅뱅 위너 블핑 대박나니까 블핑 빌보드뜨는날 몰아서 ㅈㄹ들이네..그래도 잘나가~~~	False	none	offensive	YG 올해 아이콘 빅 뱅 위너 핑 박 나 핑 빌보드 뜨 날 몰 들 잘나가
Yg가 망하면 안되는이유 걸그룹 독보적 원톱 블랙핑크 때문이라도 흥해야함	False	none	none	Yg 망하 안 되 이유 걸그룹 독보 원톱 블랙 핑크 흥하
Yg쉐키들 꼴보기도 싫다 이제 그만 나와라 뉴스	False	others	offensive	Yg 쉐키 꼴 보 싫 이제 그만 나오 뉴스
aoa가 걸그룹으로 가치고 있음? ㅋㅋㅋ요즘 아이돌은 20살만 넘어도 늙은거임 ㅋㅋㅋ 아이즈원 장원영 안유진 ITZY 유나같은애들 봐라 17살이니까 존나쩔지 ㅋㅋㅋ여자는 무조건 어린게 최고임	True	gender	hate	aoa 걸그룹 가 치 요즘 아이돌 넘 늙 아이즈 장원영 안유진 ITZY 유나 같 애 보 존나 쩔 여자 무조건 어리 최고
b.c급들 기사 쓰지말자	False	none	offensive	b.c 급 기사 쓰
bts 이제 한개씩터지는구나	False	none	none	bts 이제 터지
bts가 짱이지	False	none	none	bts 짱
cg겠지 저걸 실제로 했을까	False	none	none	cg 실제로 하
dna가 좋아서 기대했는데 페이크러브 정말 실망.. 좋다는 사람들 방탄팬이라는 입장 떠나서 만일 신인그룹이 같은 노래 불렀다 쳐도 과연 좋다고 할 수있나?? 뮤비는 오글거리고..	False	none	none	dna 좋 기대 페이크 러브 정말 실망 좋 사람 방탄 팬 입장 떠나 만일 신인 그룹 같 노래 부르 치 과연 좋 하 있 뮤 비 오 글 거리
ebs에서는 장난이라고 서로 때리고 욕하고 하나 봐요 누가 입사하고 싶어 하나요?	False	none	none	ebs 장난 서로 때리 욕하 하 입사
fm대행진은 kbs아나운서들만 하는줄알았는데..	False	none	none	fm 행진 kbs 아나운서 하 알
god 박준형이 이 기사를 싫어합니다.	False	none	offensive	god 박준형 기사 싫어하
jtbc가 밀어주는건 일단 의심부터 해야함	False	others	offensive	jtbc 밀 일단 의심 하
jyp 구내식당 진짜 모든회사들중에서 갑이더라	False	none	none	jyp 구내식당 진짜 회사 갑
life*니같은 개돼지가있어서 개한민국이 엉망진창인거야.주제를알아야지.일베충만큼 개돼지인 문베충 나라 문화 방송말아먹는 쓰레기들	False	others	hate	life 같 개 돼지 있 개 민 국 엉망진창 주제 알 일베 충 개돼지 문 베 충 나라 문화 방송 말 먹 쓰레기
mbc 요즘 일반인들 섭외 ㅈㄴ하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한심	False	others	hate	mbc 요즘 일반인 섭외 하네 심
mc 몽은 욕하면서 약쟁이는 칭찬하냐? 반칙으로 딴 메달이 무슨 정당성이 있다고. 에휴.. 개.돼지들.	False	others	hate	mc 몽 욕 약 칭찬 반칙 따 메달 정당 있 개 돼지
oecd여성들중에 가장 의욕없고 꿀빨러에 핑계대기 일상인 한국 여자들이 전세계도 아니고 oecd 선진국 여자들에 비비면서 임금문제 거론하는게 가장 어이없다	True	gender	hate	oecd 여성 가장 의욕 없 꿀 빨 핑계 대 일상 한국 여자 세계 oecd 선진국 여자 비비 임금 문제 거론 가장 어이없
sns로 열애인정해서 맞은거아녀????	False	none	none	sns 열애 인정 맞
sun2**** 무슨 천명훈을 말도 없이하차 시켜요 천명훈 까리는거 방송에 나왔습니다	False	none	none	sun 천명 후 말 없이 하차 천명훈 까 방송 나오
tvn은 진짜 또 걸리냐 ㅋㅋㅋ 불쌍하다..	False	none	none	tvn 진짜 또 걸리 불쌍
tv조선서 키워줬더니 ㅋ	False	none	offensive	tv 조선 서 키우
ubd 안마 제이튠 주식 먹튀 ㅆㄹㄱ	False	none	hate	ubd 안마 제이튠 주식 먹튀
y2k 고재근 선생인 줄 만 알았다^^	False	none	none	y k 재 근 선생 알
yg 이사지만 저 사람은 좋은 사람일 수도 있겠지. 확실한 건 잠잠하다가 소속사 이미지 바닥치니까 계속 여기저기 나오고 기사 뜨는 건 기분탓이 아닐걸. 그런건 별로임.	False	none	none	yg 이사 사람 좋 사람 있 확실 잠잠 소속사 이미지 바닥 치 계속 여기저기 나오 기사 뜨 기분 탓 별로
yg음악은 영원하다. 케이팝에 yg음악 없으면 pop 음악이 커지겠지요.	False	none	offensive	yg 음악 영원 케이팝 yg 음악 없 pop 음악 커지
